SNO,HTTP,CPU_H,Mem_H,VNC,CPU_V,Mem_V,CPU_Normalized_H,CPU_Normalized_V,Diff,,,
1,57bf7128d5e5,13.03,4.854,911f988ee94b,9.77,5.701,0.017101426432343,0.000790826413602,-3.26,,,
2,57bf7128d5e5,8.69,4.854,911f988ee94b,9.73,5.696,0,0.000632661130882,1.04,,,
3,57bf7128d5e5,9.74,4.854,911f988ee94b,10.81,5.697,0.004137441878793,0.004903123764334,1.07,,,
4,57bf7128d5e5,9.54,4.854,911f988ee94b,14.51,5.701,0.003349357711404,0.019533412415975,4.97,,,
5,57bf7128d5e5,9.49,4.858,911f988ee94b,57.5,5.701,0.003152336669556,0.189521550019771,48.01,,,
6,57bf7128d5e5,223.54,4.864,911f988ee94b,75.29,5.701,0.846599416817716,0.259865559509688,-148.25,,,
7,57bf7128d5e5,240.26,4.868,911f988ee94b,152.62,5.7,0.912483253211443,0.565638592328984,-87.64,,,
8,57bf7128d5e5,103.81,4.868,911f988ee94b,94.19,5.701,0.374812830010245,0.334598655595097,-9.62,,,
9,57bf7128d5e5,156.75,4.869,911f988ee94b,66.88,5.701,0.583418709118134,0.226611308817714,-89.87,,,
10,57bf7128d5e5,159.64,4.869,911f988ee94b,61.41,5.701,0.594806525336906,0.204982206405694,-98.23,,,
11,57bf7128d5e5,161.37,4.869,911f988ee94b,130.01,5.701,0.601623453384821,0.476235666271253,-31.36,,,
12,57bf7128d5e5,210.03,4.869,911f988ee94b,104.94,5.701,0.793364331310584,0.377105575326216,-105.09,,,
13,57bf7128d5e5,170.86,4.87,911f988ee94b,69.32,5.701,0.639018047127433,0.236259391063661,-101.54,,8.69,Min
14,57bf7128d5e5,166.77,4.871,911f988ee94b,145.35,5.701,0.622901725904327,0.536892052194543,-21.42,,262.47,Max
15,57bf7128d5e5,179.51,4.87,911f988ee94b,138.51,5.701,0.673102687367011,0.509845788849348,-41,,,
16,57bf7128d5e5,175.69,4.871,911f988ee94b,134.54,5.701,0.658050279769879,0.494147884539344,-41.15,,,
17,57bf7128d5e5,137.27,4.872,911f988ee94b,178.32,5.701,0.506659311214438,0.667259786476868,41.05,,,
18,57bf7128d5e5,130.51,4.872,911f988ee94b,125.15,5.701,0.480022066356687,0.45701858442072,-5.35999999999999,,,
19,57bf7128d5e5,105.26,4.871,911f988ee94b,126.68,5.701,0.380526440223816,0.463068406484777,21.42,,9.57,Min
20,57bf7128d5e5,105.19,4.871,911f988ee94b,152.96,5.701,0.38025061076523,0.566982997232108,47.77,,178.32,Max
21,57bf7128d5e5,111,4.871,911f988ee94b,135.91,5.701,0.403144455827882,0.499565045472519,24.91,,,
22,57bf7128d5e5,90.42,4.871,911f988ee94b,142.87,5.701,0.322050595003546,0.527085804665876,52.45,,,
23,57bf7128d5e5,114.18,4.871,911f988ee94b,119.76,5.701,0.415674994089369,0.43570581257414,5.58,,,
24,57bf7128d5e5,81.71,4.872,911f988ee94b,99.37,5.701,0.287729529513752,0.355081059707394,17.66,,,
25,57bf7128d5e5,83.4,4.872,911f988ee94b,129.49,5.701,0.29438884072819,0.474179517595888,46.09,,,
26,57bf7128d5e5,86.51,4.871,911f988ee94b,87.21,5.701,0.30664354953109,0.306998813760379,0.699999999999989,,,
27,57bf7128d5e5,185.73,4.872,911f988ee94b,87.7,5.701,0.697612104972811,0.308936338473705,-98.03,,,
28,57bf7128d5e5,88.16,4.872,911f988ee94b,69.09,5.701,0.31314524391205,0.235349940688019,-19.07,,,
29,57bf7128d5e5,111.65,4.872,911f988ee94b,74.25,5.701,0.405705729371897,0.255753262158956,-37.4,,,
30,57bf7128d5e5,106.04,4.872,911f988ee94b,77.62,5.701,0.383599968476633,0.269078687228153,-28.42,,,
31,57bf7128d5e5,97.31,4.873,911f988ee94b,140.8,5.701,0.3492000945701,0.518900751285093,43.49,,,
32,57bf7128d5e5,82.19,4.872,911f988ee94b,23.23,5.701,0.289620931515486,0.054013444049031,-58.96,,,
33,57bf7128d5e5,90.48,4.872,911f988ee94b,13.79,5.701,0.322287020253763,0.016686437327007,-76.69,,,
34,57bf7128d5e5,84.65,4.872,911f988ee94b,42.15,5.701,0.299314366774371,0.128825622775801,-42.5,,,
35,57bf7128d5e5,86.39,4.872,911f988ee94b,118.27,5.701,0.306170699030656,0.429814155792803,31.88,,,
36,57bf7128d5e5,83.04,4.872,911f988ee94b,62.81,5.701,0.292970289226889,0.210517991300909,-20.23,,,
37,57bf7128d5e5,87.33,4.874,911f988ee94b,80.37,5.701,0.309874694617385,0.279952550415184,-6.95999999999999,,,
38,57bf7128d5e5,112.13,4.874,911f988ee94b,116.72,5.701,0.407597131373631,0.423685251087386,4.59,,,
39,57bf7128d5e5,262.47,4.876,911f988ee94b,12.01,5.701,1,0.009648082245947,-250.46,,,
40,57bf7128d5e5,174.45,4.877,911f988ee94b,10.83,5.701,0.653164157932067,0.004982206405694,-163.62,,,
41,57bf7128d5e5,25.25,4.877,911f988ee94b,9.92,5.701,0.065253369059816,0.001383946223804,-15.33,,,
42,57bf7128d5e5,10.9,4.877,911f988ee94b,9.57,5.701,0.008708330049649,0,-1.33,,,
